player_id,sim_time_min,heart_rate,accel_value,impact_event,major_event,tier,network_delay_ms,edge_latency_ms
1,0,88,1.91,False,False,2,124.28,1988.23
2,0,91,1.51,False,False,2,146.1,1841.12
3,0,78,1.47,False,False,2,37.6,1802.63
4,0,67,1.23,False,False,2,120.75,1680.98
5,0,78,1.74,False,False,2,100.21,1579.05
6,0,70,1.13,False,False,2,103.01,1475.0
7,0,68,1.83,False,False,2,33.48,1440.48
8,0,88,1.13,False,False,2,111.53,1326.85
9,0,77,1.89,False,False,2,87.01,1238.87
10,0,81,1.06,False,False,2,110.74,1127.18
11,0,74,1.06,False,False,2,97.45,1027.84
12,0,85,1.55,False,False,2,128.63,898.46
13,0,74,1.84,False,False,2,142.41,755.24
14,0,69,0.96,False,False,2,127.73,626.19
15,0,92,0.94,False,False,2,60.32,565.18
17,0,87,1.24,False,False,2,127.64,432.6
18,0,77,1.38,False,False,2,90.79,340.83
19,0,79,0.77,False,False,2,137.02,202.93
20,0,74,1.2,False,False,2,43.51,158.3
21,0,83,1.9,False,False,2,23.6,133.92
22,0,75,0.72,False,False,2,133.4,0.02
1,0.38,86,1.24,False,False,2,22.48,992.29
2,0.38,94,0.72,False,False,2,75.86,915.69
3,0.38,78,0.68,False,False,2,106.95,807.7
4,0.38,70,0.77,False,False,2,124.45,682.05
5,0.38,81,1.24,False,False,2,27.01,654.41
6,0.38,72,1.9,False,False,2,75.69,576.99
7,0.38,67,0.99,False,False,2,102.26,474.01
8,0.38,87,0.7,False,False,2,93.84,377.03
9,0.38,78,1.36,False,False,2,63.46,312.18
10,0.38,80,1.48,False,False,2,132.44,178.99
11,0.38,76,0.77,False,False,2,36.79,140.7
12,0.38,84,0.98,False,False,2,54.63,85.06
13,0.38,75,0.52,False,False,2,83.21,0.02
14,0.38,72,0.84,False,False,2,141.72,1925.68
15,0.38,91,0.83,False,False,2,122.18,1802.31
16,0.38,84,1.66,False,False,2,63.67,1737.57
17,0.38,85,1.25,False,False,2,123.27,1613.25
18,0.38,74,1.87,False,False,2,29.74,1582.62
20,0.38,76,0.87,False,False,2,99.25,1482.08
21,0.38,80,0.93,False,False,2,59.7,1421.03
22,0.38,72,1.18,False,False,2,147.36,1272.4
1,0.75,88,1.88,False,False,2,110.63,160.12
2,0.75,97,1.75,False,False,2,25.99,133.21
3,0.75,80,0.93,False,False,2,132.28,0.01
4,0.75,67,1.58,False,False,2,26.4,2592.86
5,0.75,78,0.55,False,False,2,85.23,2506.5
6,0.75,72,1.96,False,False,2,81.94,2424.07
7,0.75,68,1.61,False,False,2,103.83,2319.46
8,0.75,85,1.24,False,False,2,30.99,2287.14
9,0.75,78,0.53,False,False,2,47.21,2238.52
10,0.75,80,0.53,False,False,2,86.32,2150.88
11,0.75,77,1.65,False,False,2,135.82,2014.27
12,0.75,85,1.22,False,False,2,79.47,1933.76
13,0.75,72,1.2,False,False,2,42.93,1889.18
14,0.75,74,1.05,False,False,2,34.94,1851.1
15,0.75,89,1.77,False,False,2,84.12,1765.5
16,0.75,87,1.23,False,False,2,44.21,1720.49
17,0.75,85,1.1,False,False,2,102.79,1617.13
18,0.75,76,1.63,False,False,2,47.17,1567.56
19,0.75,83,1.13,False,False,2,101.64,1464.13
20,0.75,75,1.69,False,False,2,141.75,1321.55
21,0.75,83,1.54,False,False,2,89.66,1229.96
22,0.75,74,0.88,False,False,2,99.17,1130.09
1,1.12,85,0.95,False,False,2,127.8,0.01
2,1.12,100,1.28,False,False,2,38.2,2392.32
3,1.12,78,1.21,False,False,2,29.53,2361.65
4,1.12,70,1.75,False,False,2,129.07,2231.83
5,1.12,76,1.41,False,False,2,28.83,2200.52
7,1.12,68,1.2,False,False,2,54.95,2144.02
8,1.12,86,0.66,False,False,2,44.24,2099.0
9,1.12,81,0.94,False,False,2,67.82,2030.6
10,1.12,81,1.41,False,False,2,44.48,1985.55
11,1.12,75,1.08,False,False,2,34.75,1950.21
12,1.12,85,1.85,False,False,2,45.77,1903.39
13,1.12,72,1.66,False,False,2,37.03,1864.88
14,1.12,73,1.44,False,False,2,39.13,1823.33
15,1.12,92,1.12,False,False,2,119.54,1702.94
16,1.12,85,0.89,False,False,2,145.19,1556.95
17,1.12,84,1.86,False,False,2,85.92,1470.26
18,1.12,76,0.85,False,False,2,88.54,1381.07
19,1.12,83,1.49,False,False,2,20.24,1359.78
20,1.12,77,0.83,False,False,2,33.5,1325.48
21,1.12,82,1.73,False,False,2,45.11,1279.58
22,1.12,73,0.99,False,False,2,133.75,1145.16
1,1.5,87,1.1,False,False,2,142.84,0.01
2,1.5,103,1.7,False,False,2,33.5,2765.43
3,1.5,76,1.76,False,False,2,90.64,2673.95
4,1.5,70,0.86,False,False,2,64.81,2608.27
5,1.5,78,1.96,False,False,2,99.17,2507.32
6,1.5,72,0.87,False,False,2,62.67,2441.99
7,1.5,67,1.55,False,False,2,24.47,2416.53
8,1.5,85,1.31,False,False,2,114.0,2301.45
9,1.5,82,1.79,False,False,2,53.91,2246.69
10,1.5,83,0.62,False,False,2,134.96,2111.06
11,1.5,72,1.09,False,False,2,25.67,2083.48
12,1.5,88,1.63,False,False,2,116.98,1965.9
13,1.5,72,1.43,False,False,2,27.15,1937.86
14,1.5,76,1.18,False,False,2,149.28,1787.95
15,1.5,91,0.76,False,False,2,63.2,1723.66
16,1.5,82,1.32,False,False,2,52.64,1670.13
17,1.5,81,1.5,False,False,2,37.73,1631.66
18,1.5,79,0.6,False,False,2,89.01,1541.69
19,1.5,84,0.64,False,False,2,140.43,1400.33
20,1.5,74,0.58,False,False,2,93.47,1305.88
21,1.5,84,1.37,False,False,2,130.42,1174.71
22,1.5,75,0.77,False,False,2,95.06,1078.03
1,1.88,89,0.92,False,False,2,76.38,0.01
2,1.88,101,0.75,False,False,2,52.68,2002.61
3,1.88,79,1.59,False,False,2,94.6,1907.1
4,1.88,70,0.72,False,False,2,65.23,1840.19
5,1.88,75,1.11,False,False,2,149.59,1689.94
6,1.88,69,0.52,False,False,2,109.15,1579.88
7,1.88,70,0.74,False,False,2,59.84,1519.05
8,1.88,86,1.59,False,False,2,114.62,1403.44
9,1.88,84,0.77,False,False,2,111.67,1290.8
10,1.88,80,1.77,False,False,2,121.31,1168.42
11,1.88,71,1.7,False,False,2,92.62,1075.06
12,1.88,89,0.99,False,False,2,100.27,973.71
13,1.88,74,1.07,False,False,2,147.5,825.04
14,1.88,78,1.12,False,False,2,41.46,781.24
15,1.88,90,0.63,False,False,2,100.49,679.74
16,1.88,82,1.33,False,False,2,108.77,570.15
17,1.88,84,1.81,False,False,2,34.24,533.33
18,1.88,80,0.56,False,False,2,126.05,403.11
20,1.88,71,1.81,False,False,2,113.44,284.9
21,1.88,83,1.79,False,False,2,133.8,150.26
22,1.88,78,1.31,False,False,2,149.38,0.01
1,2.25,87,1.61,False,False,2,99.53,929.1
2,2.25,99,1.35,False,False,2,132.88,794.73
3,2.25,80,1.56,False,False,2,124.48,669.2
4,2.25,70,1.37,False,False,2,84.35,583.47
5,2.25,75,1.96,False,False,2,28.76,553.76
6,2.25,66,1.71,False,False,2,22.22,530.94
