player_id,sim_time_min,heart_rate,accel_value,impact_event,major_event,tier,network_delay_ms,edge_latency_ms
1,0,90,0.85,False,False,2,131.57,0.01
2,0,78,0.84,False,False,2,45.83,0.01
3,0,83,1.75,False,False,2,82.92,0.01
4,0,81,1.6,False,False,2,48.25,0.01
5,0,77,0.66,False,False,2,140.57,0.01
6,0,80,1.18,False,False,2,72.72,0.01
7,0,91,0.78,False,False,2,100.99,0.01
8,0,75,1.06,False,False,2,136.0,0.01
9,0,85,0.84,False,False,2,133.54,0.0
10,0,78,1.25,False,False,2,91.35,0.0
11,0,70,1.28,False,False,2,118.8,0.01
12,0,76,1.24,False,False,2,86.47,0.01
13,0,93,1.34,False,False,2,31.79,0.01
14,0,71,1.33,False,False,2,87.54,0.01
15,0,84,1.07,False,False,2,80.16,0.0
16,0,89,0.67,False,False,2,87.11,0.0
17,0,81,0.6,False,False,2,98.9,0.01
18,0,72,1.13,False,False,2,48.8,0.0
19,0,88,1.7,False,False,2,100.53,0.01
20,0,72,1.22,False,False,2,53.32,0.01
21,0,82,0.69,False,False,2,90.68,0.01
22,0,90,1.42,False,False,2,129.2,0.01
1,0.38,92,0.93,False,False,2,115.12,0.01
2,0.38,77,1.82,False,False,2,64.72,0.01
3,0.38,85,1.56,False,False,2,39.25,0.01
4,0.38,81,1.87,False,False,2,62.97,0.01
5,0.38,74,1.52,False,False,2,129.59,0.01
6,0.38,82,1.92,False,False,2,66.61,0.0
7,0.38,93,0.9,False,False,2,59.26,0.01
8,0.38,76,1.18,False,False,2,72.74,0.01
9,0.38,82,1.84,False,False,2,126.98,0.01
10,0.38,79,1.9,False,False,2,68.2,0.01
11,0.38,70,0.82,False,False,2,26.53,0.01
12,0.38,73,1.38,False,False,2,75.48,0.01
13,0.38,93,1.64,False,False,2,121.06,0.0
14,0.38,72,0.83,False,False,2,35.32,0.01
15,0.38,81,0.52,False,False,2,56.36,0.01
16,0.38,88,1.15,False,False,2,143.91,0.01
17,0.38,80,1.66,False,False,2,20.54,0.01
18,0.38,74,0.72,False,False,2,116.64,0.01
19,0.38,88,1.05,False,False,2,60.23,0.01
20,0.38,71,1.55,False,False,2,45.74,0.01
21,0.38,84,1.24,False,False,2,103.62,0.0
22,0.38,92,1.99,False,False,2,136.61,0.01
1,0.75,93,1.98,False,False,2,127.36,0.01
2,0.75,78,0.86,False,False,2,134.36,0.01
3,0.75,84,0.6,False,False,2,96.71,0.01
4,0.75,83,0.52,False,False,2,33.25,0.01
5,0.75,75,0.52,False,False,2,30.92,0.01
6,0.75,83,0.51,False,False,2,21.97,0.0
7,0.75,95,1.43,False,False,2,147.05,0.01
8,0.75,77,1.86,False,False,2,112.34,0.01
9,0.75,83,1.11,False,False,2,113.98,0.01
10,0.75,79,1.94,False,False,2,23.3,0.01
11,0.75,70,1.04,False,False,2,111.15,0.01
12,0.75,70,1.64,False,False,2,142.68,0.01
13,0.75,91,1.69,False,False,2,56.22,0.0
14,0.75,73,0.86,False,False,2,92.2,0.01
15,0.75,78,1.21,False,False,2,85.64,0.01
16,0.75,88,1.79,False,False,2,66.86,0.01
17,0.75,78,0.75,False,False,2,84.47,0.01
18,0.75,72,1.08,False,False,2,81.4,0.01
19,0.75,87,0.76,False,False,2,99.77,0.01
20,0.75,70,0.85,False,False,2,43.02,0.01
21,0.75,83,1.83,False,False,2,54.63,0.01
22,0.75,91,1.28,False,False,2,72.77,0.01
1,1.12,92,1.74,False,False,2,55.73,0.01
2,1.12,79,0.92,False,False,2,51.51,0.01
3,1.12,81,1.16,False,False,2,133.97,0.01
4,1.12,80,1.16,False,False,2,110.46,0.01
5,1.12,72,0.72,False,False,2,53.21,0.01
6,1.12,85,1.99,False,False,2,78.08,0.01
7,1.12,98,0.69,False,False,2,115.61,0.01
8,1.12,74,0.68,False,False,2,22.8,0.01
9,1.12,86,1.06,False,False,2,80.13,0.01
10,1.12,81,1.84,False,False,2,73.99,0.01
11,1.12,69,1.9,False,False,2,97.42,0.01
12,1.12,72,1.23,False,False,2,21.53,0.01
14,1.12,70,1.54,False,False,2,95.75,0.01
15,1.12,77,1.7,False,False,2,49.69,0.01
16,1.12,86,0.97,False,False,2,33.87,0.01
17,1.12,75,1.25,False,False,2,69.49,0.01
18,1.12,75,1.01,False,False,2,126.4,0.01
19,1.12,86,1.53,False,False,2,39.88,0.01
20,1.12,68,1.77,False,False,2,81.62,0.01
21,1.12,82,1.9,False,False,2,75.04,0.01
22,1.12,92,1.98,False,False,2,105.48,0.01
1,1.5,90,0.63,False,False,2,79.54,0.01
2,1.5,82,0.78,False,False,2,56.08,0.01
3,1.5,82,1.14,False,False,2,108.4,0.01
4,1.5,82,1.98,False,False,2,56.34,0.01
5,1.5,75,0.87,False,False,2,74.1,0.01
6,1.5,84,1.97,False,False,2,81.17,0.01
7,1.5,101,0.94,False,False,2,100.72,0.01
8,1.5,74,0.65,False,False,2,50.23,0.0
9,1.5,86,0.76,False,False,2,36.69,0.01
10,1.5,80,1.75,False,False,2,55.89,0.01
11,1.5,71,0.53,False,False,2,69.23,0.01
12,1.5,73,1.93,False,False,2,64.02,0.01
13,1.5,95,0.91,False,False,2,67.71,0.01
14,1.5,71,0.7,False,False,2,147.7,0.01
15,1.5,74,1.81,False,False,2,125.77,0.01
16,1.5,86,1.25,False,False,2,129.4,0.01
17,1.5,75,0.56,False,False,2,76.35,0.01
18,1.5,74,0.55,False,False,2,21.49,0.01
