player_id,sim_time_min,heart_rate,accel_value,impact_event,major_event,tier,network_delay_ms,edge_latency_ms
1,0,72,1.25,False,False,2,25.26,2016.67
2,0,73,1.51,False,False,2,75.43,1940.51
3,0,86,1.54,False,False,2,137.37,1802.0
4,0,77,1.55,False,False,2,101.18,1699.41
5,0,89,0.89,False,False,2,121.46,1576.35
6,0,88,0.86,False,False,2,148.45,1427.11
7,0,73,1.47,False,False,2,145.51,1280.2
8,0,84,1.65,False,False,2,95.58,1184.21
9,0,75,1.9,False,False,2,108.66,1073.19
10,0,72,1.14,False,False,2,103.39,969.29
11,0,71,0.73,False,False,2,112.93,855.28
12,0,74,1.76,False,False,2,53.61,800.98
13,0,91,1.73,False,False,2,44.44,755.98
14,0,90,1.33,False,False,2,141.63,613.39
15,0,87,0.54,False,False,2,55.08,556.65
16,0,93,0.52,False,False,2,21.95,533.71
17,0,87,0.55,False,False,2,120.24,412.77
18,0,80,1.26,False,False,2,112.52,299.58
19,0,93,1.2,False,False,2,109.04,189.71
20,0,93,0.75,False,False,2,101.88,87.12
21,0,78,1.86,False,False,2,86.37,0.02
22,0,79,1.32,False,False,2,57.38,1987.42
1,0.38,70,1.07,False,False,2,40.53,944.96
2,0.38,74,1.95,False,False,2,122.27,821.91
3,0.38,83,0.57,False,False,2,74.37,746.9
4,0.38,76,1.44,False,False,2,134.73,611.07
5,0.38,87,1.89,False,False,2,53.54,553.94
6,0.38,88,1.32,False,False,2,130.39,422.96
7,0.38,75,1.49,False,False,2,117.34,304.08
8,0.38,85,1.61,False,False,2,85.96,217.55
9,0.38,74,0.52,False,False,2,117.27,99.52
10,0.38,73,1.63,False,False,2,33.56,64.08
11,0.38,71,0.53,False,False,2,63.23,0.02
12,0.38,74,1.13,False,False,2,83.3,1966.72
13,0.38,92,0.66,False,False,2,73.02,1892.87
14,0.38,89,1.3,False,False,2,145.59,1746.23
15,0.38,89,1.48,False,False,2,102.48,1642.76
16,0.38,96,1.05,False,False,2,40.45,1601.28
17,0.38,89,1.41,False,False,2,95.13,1505.42
18,0.38,82,1.42,False,False,2,55.28,1449.64
19,0.38,95,0.73,False,False,2,112.09,1335.29
20,0.38,93,1.63,False,False,2,99.92,1234.4
21,0.38,75,0.87,False,False,2,63.93,1169.57
22,0.38,80,1.67,False,False,2,56.85,1111.84
1,0.75,67,1.83,False,False,2,110.8,0.02
2,0.75,71,0.88,False,False,2,51.93,2627.45
3,0.75,86,1.33,False,False,2,56.87,2570.04
4,0.75,76,0.69,False,False,2,146.8,2422.53
5,0.75,86,0.84,False,False,2,106.02,2314.13
6,0.75,85,1.89,False,False,2,121.55,2191.4
7,0.75,76,0.56,False,False,2,52.91,2137.7
8,0.75,88,0.63,False,False,2,78.15,2058.68
9,0.75,74,0.53,False,False,2,21.2,2036.59
10,0.75,75,0.81,False,False,2,82.88,1952.56
11,0.75,72,1.07,False,False,2,133.37,1818.62
12,0.75,71,1.46,False,False,2,27.28,1790.56
13,0.75,93,1.09,False,False,2,104.29,1683.89
14,0.75,87,1.66,False,False,2,66.58,1616.32
15,0.75,89,1.22,False,False,2,91.88,1521.81
16,0.75,98,1.37,False,False,2,100.04,1420.74
17,0.75,87,0.69,False,False,2,42.63,1377.17
18,0.75,83,0.99,False,False,2,60.78,1315.55
19,0.75,96,1.38,False,False,2,63.98,1250.61
20,0.75,90,1.46,False,False,2,86.69,1163.05
21,0.75,72,1.57,False,False,2,62.6,1099.46
1,1.12,69,1.89,False,False,2,96.93,0.01
2,1.12,73,1.94,False,False,2,47.34,2724.73
3,1.12,89,0.85,False,False,2,31.15,2692.78
4,1.12,74,0.92,False,False,2,138.73,2553.26
5,1.12,84,0.7,False,False,2,136.84,2415.59
6,1.12,83,0.83,False,False,2,42.36,2372.29
7,1.12,77,0.98,False,False,2,29.21,2342.18
8,1.12,86,0.76,False,False,2,79.13,2262.24
9,1.12,75,0.72,False,False,2,28.58,2232.72
10,1.12,78,1.3,False,False,2,30.53,2201.23
11,1.12,72,0.65,False,False,2,34.78,2165.72
12,1.12,69,1.9,False,False,2,57.68,2107.44
13,1.12,95,0.7,False,False,2,70.6,2034.87
14,1.12,85,0.81,False,False,2,145.24,1888.53
15,1.12,92,0.72,False,False,2,137.77,1749.64
16,1.12,97,1.56,False,False,2,90.02,1658.3
17,1.12,89,0.52,False,False,2,91.43,1566.13
18,1.12,81,1.03,False,False,2,59.14,1506.3
19,1.12,93,1.59,False,False,2,142.56,1363.07
20,1.12,92,1.72,False,False,2,129.82,1232.43
21,1.12,74,1.05,False,False,2,41.17,1190.36
22,1.12,77,1.53,False,False,2,124.52,1065.3
1,1.5,69,0.84,False,False,2,63.57,0.02
2,1.5,74,0.97,False,False,2,56.11,2273.78
3,1.5,91,1.06,False,False,2,26.86,2246.12
4,1.5,76,0.76,False,False,2,93.97,2151.36
5,1.5,87,1.56,False,False,2,67.0,2081.68
6,1.5,82,1.03,False,False,2,139.45,1940.52
7,1.5,77,0.73,False,False,2,117.02,1822.29
8,1.5,86,1.84,False,False,2,33.52,1788.11
9,1.5,77,0.83,False,False,2,21.59,1764.88
10,1.5,76,0.61,False,False,2,77.67,1686.52
12,1.5,71,1.58,False,False,2,52.96,1631.94
13,1.5,94,1.46,False,False,2,25.09,1605.43
14,1.5,84,0.87,False,False,2,111.67,1492.91
15,1.5,93,1.62,False,False,2,64.47,1427.52
16,1.5,96,0.69,False,False,2,80.7,1345.5
17,1.5,88,1.55,False,False,2,84.68,1259.22
18,1.5,83,0.7,False,False,2,54.12,1204.41
19,1.5,96,0.67,False,False,2,68.76,1134.58
20,1.5,91,1.71,False,False,2,34.47,1098.59
21,1.5,74,1.21,False,False,2,22.23,1075.06
22,1.5,76,0.53,False,False,2,39.43,1034.56
1,1.88,71,0.8,False,False,2,33.63,0.01
2,1.88,72,1.18,False,False,2,85.48,2758.93
3,1.88,92,0.95,False,False,2,118.79,2639.34
4,1.88,73,1.15,False,False,2,44.84,2592.55
5,1.88,85,1.73,False,False,2,77.31,2514.03
6,1.88,84,0.79,False,False,2,30.1,2481.97
7,1.88,77,1.05,False,False,2,139.09,2340.29
8,1.88,87,1.25,False,False,2,84.11,2255.3
9,1.88,76,1.27,False,False,2,28.0,2226.79
10,1.88,77,0.72,False,False,2,130.76,2095.31
11,1.88,72,0.84,False,False,2,75.36,2019.22
12,1.88,69,0.84,False,False,2,126.91,1883.95
13,1.88,93,1.34,False,False,2,77.81,1803.7
14,1.88,83,1.02,False,False,2,26.14,1773.66
15,1.88,92,1.68,False,False,2,121.56,1646.38
16,1.88,97,1.17,False,False,2,92.64,1552.45
17,1.88,89,0.84,False,False,2,46.06,1504.19
18,1.88,80,1.24,False,False,2,47.46,1454.0
19,1.88,98,0.67,False,False,2,32.24,1419.07
20,1.88,88,1.73,False,False,2,140.34,1275.95
21,1.88,73,1.2,False,False,2,130.65,1142.18
22,1.88,78,1.41,False,False,2,91.62,1044.52
1,2.25,68,0.96,False,False,2,41.71,0.01
2,2.25,70,0.8,False,False,2,52.37,2721.05
3,2.25,95,1.07,False,False,2,143.61,2576.73
4,2.25,76,1.56,False,False,2,52.2,2523.05
5,2.25,83,0.86,False,False,2,46.3,2476.01
6,2.25,85,1.94,False,False,2,116.63,2358.43
7,2.25,74,1.06,False,False,2,21.35,2336.2
8,2.25,86,1.21,False,False,2,87.14,2248.48
9,2.25,78,1.39,False,False,2,35.21,2212.59
10,2.25,75,0.65,False,False,2,96.56,2115.35
11,2.25,75,1.71,False,False,2,104.12,2010.44
12,2.25,72,0.83,False,False,2,57.26,1952.7
13,2.25,93,1.33,False,False,2,126.61,1825.53
14,2.25,86,1.42,False,False,2,148.83,1675.98
15,2.25,94,0.97,False,False,2,104.74,1570.5
16,2.25,96,1.24,False,False,2,42.79,1526.87
17,2.25,90,1.85,False,False,2,144.83,1380.97
18,2.25,81,1.16,False,False,2,62.01,1318.45
19,2.25,100,1.77,False,False,2,70.35,1247.82
20,2.25,88,0.53,False,False,2,53.38,1193.84
21,2.25,74,0.77,False,False,2,56.58,1136.53
22,2.25,75,0.61,False,False,2,49.26,1086.76
1,2.62,68,1.04,False,False,2,84.48,0.01
2,2.62,71,1.78,False,False,2,89.23,1914.8
3,2.62,92,1.99,False,False,2,115.04,1799.17
4,2.62,76,1.05,False,False,2,49.26,1749.62
5,2.62,86,1.63,False,False,2,142.48,1606.87
6,2.62,83,1.64,False,False,2,136.95,1469.25
7,2.62,75,0.99,False,False,2,141.46,1327.03
8,2.62,86,1.35,False,False,2,96.06,1230.46
9,2.62,76,0.52,False,False,2,106.07,1123.8
10,2.62,74,0.52,False,False,2,117.08,1005.87
11,2.62,72,1.54,False,False,2,130.72,874.53
12,2.62,73,1.82,False,False,2,60.87,813.07
13,2.62,93,1.45,False,False,2,95.09,717.31
